Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-06-21 10:00:00,1813.31000000,1822.79000000,1808.78000000,1812.43000000,18365.27640000,2023-06-21 10:59:59.999,33324886.88921900,23569,8592.85420000,15595707.52851100,0
2023-06-21 11:00:00,1812.43000000,1833.44000000,1812.01000000,1829.65000000,21452.71430000,2023-06-21 11:59:59.999,39133291.07801200,26387,11220.98250000,20463422.21902600,0
2023-06-21 12:00:00,1829.65000000,1838.98000000,1815.69000000,1816.14000000,30212.61940000,2023-06-21 12:59:59.999,55245161.80490200,33974,13026.59980000,23823110.56200800,0
2023-06-21 13:00:00,1816.14000000,1839.53000000,1815.05000000,1833.42000000,25473.11360000,2023-06-21 13:59:59.999,46546051.71553100,29620,12478.12260000,22800828.95658300,0
2023-06-21 14:00:00,1833.41000000,1848.00000000,1819.06000000,1843.79000000,55594.23800000,2023-06-21 14:59:59.999,102107443.91743900,47317,24722.73930000,45428822.49702700,0
2023-06-21 15:00:00,1843.79000000,1856.89000000,1839.64000000,1849.81000000,53855.55510000,2023-06-21 15:59:59.999,99615306.73166000,46998,30986.37400000,57326291.17477800,0
2023-06-21 16:00:00,1849.81000000,1900.00000000,1846.88000000,1870.23000000,93694.06550000,2023-06-21 16:59:59.999,175965487.45275200,96239,49980.86880000,93798494.76009500,0
2023-06-21 17:00:00,1870.23000000,1878.73000000,1856.78000000,1872.21000000,39233.03570000,2023-06-21 17:59:59.999,73254636.14444100,43027,18945.10330000,35374343.56171600,0
2023-06-21 18:00:00,1872.22000000,1881.76000000,1870.97000000,1876.06000000,18869.88480000,2023-06-21 18:59:59.999,35421743.44476000,23293,8988.78400000,16871928.58470900,0
2023-06-21 19:00:00,1876.06000000,1883.24000000,1867.41000000,1882.35000000,16992.65470000,2023-06-21 19:59:59.999,31873021.18829000,22706,7360.05830000,13804029.64492700,0
2023-06-21 20:00:00,1882.35000000,1888.57000000,1873.65000000,1879.77000000,17561.49570000,2023-06-21 20:59:59.999,33049591.38036300,22297,7472.10890000,14062287.97137600,0
2023-06-21 21:00:00,1879.78000000,1886.00000000,1872.03000000,1875.19000000,15248.89970000,2023-06-21 21:59:59.999,28658937.66556600,18545,6459.72620000,12140278.58101700,0
2023-06-21 22:00:00,1875.18000000,1895.00000000,1874.16000000,1893.22000000,18483.38670000,2023-06-21 22:59:59.999,34826394.49203000,21355,9392.80060000,17697309.26067700,0
2023-06-21 23:00:00,1893.23000000,1901.00000000,1889.00000000,1889.11000000,20172.58740000,2023-06-21 23:59:59.999,38244443.56679300,24197,10469.16820000,19855997.80535100,0
2023-06-22 00:00:00,1889.10000000,1921.00000000,1883.80000000,1915.58000000,42378.54300000,2023-06-22 00:59:59.999,80848745.70850800,50879,20564.01430000,39230633.88498100,0
2023-06-22 01:00:00,1915.59000000,1925.00000000,1910.00000000,1912.08000000,22191.23520000,2023-06-22 01:59:59.999,42558105.50109600,29517,11355.61000000,21782301.81819400,0
2023-06-22 02:00:00,1912.08000000,1933.17000000,1908.92000000,1930.31000000,35736.62710000,2023-06-22 02:59:59.999,68634537.12062100,37685,23590.77080000,45292462.82467400,0
2023-06-22 03:00:00,1930.31000000,1931.00000000,1915.81000000,1918.45000000,13589.49620000,2023-06-22 03:59:59.999,26111470.28079400,20250,6156.83470000,11826975.40178700,0
2023-06-22 04:00:00,1918.45000000,1919.50000000,1912.55000000,1919.37000000,10868.28960000,2023-06-22 04:59:59.999,20830518.64651200,16091,5753.33420000,11028437.14495800,0
2023-06-22 05:00:00,1919.37000000,1919.37000000,1907.25000000,1911.22000000,11088.50970000,2023-06-22 05:59:59.999,21220190.96933200,15564,4171.19160000,7982245.13027700,0
2023-06-22 06:00:00,1911.25000000,1911.75000000,1902.83000000,1909.69000000,14298.15330000,2023-06-22 06:59:59.999,27274542.33821900,24206,6344.57820000,12102619.61634000,0
2023-06-22 07:00:00,1909.69000000,1911.94000000,1906.00000000,1910.79000000,11295.66510000,2023-06-22 07:59:59.999,21566277.02129000,19741,5305.04100000,10128497.26986900,0
2023-06-22 08:00:00,1910.79000000,1911.78000000,1904.12000000,1907.96000000,10351.25340000,2023-06-22 08:59:59.999,19746554.82563800,12391,5222.97110000,9963462.63139200,0
